weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
1.0000000,0.1520000,0.0009275,38.0000000,0.1000000,118900000.0000000,0.0669000,549000000.0000000,0.0000000,0.2,36.0000000,66.0000000,0.0000000
1.0000000,0.1242000,0.0009152,40.0000000,0.1000000,97230000.0000000,,,0.0000000,1.0000000,36.0000000,66.0000000,0.2
1.0000000,0.1078000,0.0008840,42.0000000,0.1000000,84360000.0000000,,,,,,,0.4
1.0000000,0.1008000,0.0009138,44.0000000,0.1000000,78890000.0000000,,,,,,,0.6
1.0000000,0.0846000,0.0008690,48.0000000,0.1000000,66160000.0000000,,,,,,,0.8
1.0000000,0.0665000,0.0008868,52.0000000,0.1000000,52050000.0000000,,,,,,,1.0000000
1.0000000,0.0536000,0.0008484,57.0000000,0.1000000,41960000.0000000,,,,,,,
1.0000000,0.0467000,0.0001119,60.0000000,0.1000000,36550000.0000000,,,,,,,
1.0000000,0.0368000,0.0001119,63.0000000,0.1000000,28820000.0000000,,,,,,,
1.0000000,0.0204000,0.0001121,65.0000000,0.1000000,15980000.0000000,,,,,,,
